 v-sweep        v(v_out)       v(d5k)         v(u6a_out)     v(u6b_out)     v(fb)          v(u6a_ideal)   v(u6b_ref)    
 3.2400000e+00  3.2400000e+00  3.2279554e+00  3.2399999e+00  3.2302115e+00  1.2044605e+00  3.2400000e+00  3.2302115e+00 
 3.2500000e+00  3.2500000e+00  3.2379182e+00  3.2499999e+00  3.2401813e+00  1.2081780e+00  3.2500000e+00  3.2401813e+00 
 3.2600000e+00  3.2600000e+00  3.2478811e+00  3.2599999e+00  3.2501510e+00  1.2118955e+00  3.2600000e+00  3.2501511e+00 
 3.2700000e+00  3.2700000e+00  3.2578439e+00  3.2699999e+00  3.2601208e+00  1.2156129e+00  3.2700000e+00  3.2601208e+00 
 3.2800000e+00  3.2800000e+00  3.2678067e+00  3.2799999e+00  3.2700906e+00  1.2193304e+00  3.2800000e+00  3.2700906e+00 
 3.2900000e+00  3.2900000e+00  3.2777695e+00  3.2899999e+00  3.2800604e+00  1.2230479e+00  3.2900000e+00  3.2800604e+00 
 3.3000000e+00  3.3000000e+00  3.2877324e+00  3.2999999e+00  3.2900302e+00  1.2267653e+00  3.3000000e+00  3.2900302e+00 
 3.3100000e+00  3.3100000e+00  3.2976952e+00  3.3099999e+00  3.3000000e+00  1.2304828e+00  3.3100000e+00  3.3000000e+00 
 3.3200000e+00  3.3200000e+00  3.3076580e+00  3.3199999e+00  3.3099698e+00  1.2342003e+00  3.3200000e+00  3.3099698e+00 
 3.3300000e+00  3.3300000e+00  3.3176208e+00  3.3299999e+00  3.3199396e+00  1.2379178e+00  3.3300000e+00  3.3199396e+00 
 3.3400000e+00  3.3400000e+00  3.3275837e+00  3.3399999e+00  3.3299094e+00  1.2416352e+00  3.3400000e+00  3.3299094e+00 
 3.3500000e+00  3.3500000e+00  3.3375465e+00  3.3499999e+00  3.3398791e+00  1.2453527e+00  3.3500000e+00  3.3398792e+00 
 3.3600000e+00  3.3600000e+00  3.3475093e+00  3.3599999e+00  3.3498489e+00  1.2490702e+00  3.3600000e+00  3.3498489e+00 
 3.3700000e+00  3.3700000e+00  3.3574721e+00  3.3699999e+00  3.3598187e+00  1.2527876e+00  3.3700000e+00  3.3598187e+00 
 3.3800000e+00  3.3800000e+00  3.3674350e+00  3.3799999e+00  3.3697885e+00  1.2565051e+00  3.3800000e+00  3.3697885e+00 
 3.3900000e+00  3.3900000e+00  3.3773978e+00  3.3899999e+00  3.3797583e+00  1.2602226e+00  3.3900000e+00  3.3797583e+00 
 3.4000000e+00  3.4000000e+00  3.3873606e+00  3.3999999e+00  3.3897281e+00  1.2639401e+00  3.4000000e+00  3.3897281e+00 
 3.4100000e+00  3.4100000e+00  3.3973234e+00  3.4099999e+00  3.3996979e+00  1.2676575e+00  3.4100000e+00  3.3996979e+00 
 3.4200000e+00  3.4200000e+00  3.4072863e+00  3.4199999e+00  3.4096677e+00  1.2713750e+00  3.4200000e+00  3.4096677e+00 
 3.4300000e+00  3.4300000e+00  3.4172491e+00  3.4299999e+00  3.4196374e+00  1.2750925e+00  3.4300000e+00  3.4196375e+00 
 3.4400000e+00  3.4400000e+00  3.4272119e+00  3.4399999e+00  3.4296072e+00  1.2788099e+00  3.4400000e+00  3.4296073e+00 
 3.4500000e+00  3.4500000e+00  3.4371747e+00  3.4499999e+00  3.4395770e+00  1.2825274e+00  3.4500000e+00  3.4395770e+00 
 3.4600000e+00  3.4600000e+00  3.4471376e+00  3.4599999e+00  3.4495468e+00  1.2862449e+00  3.4600000e+00  3.4495468e+00 
 3.4700000e+00  3.4700000e+00  3.4571004e+00  3.4699999e+00  3.4595166e+00  1.2899624e+00  3.4700000e+00  3.4595166e+00 
 3.4800000e+00  3.4800000e+00  3.4670632e+00  3.4799999e+00  3.4694864e+00  1.2936798e+00  3.4800000e+00  3.4694864e+00 
 3.4900000e+00  3.4900000e+00  3.4770260e+00  3.4899999e+00  3.4794562e+00  1.2973973e+00  3.4900000e+00  3.4794562e+00 
 3.5000000e+00  3.5000000e+00  3.4869889e+00  3.4999999e+00  3.4894260e+00  1.3011148e+00  3.5000000e+00  3.4894260e+00 
 3.5100000e+00  3.5100000e+00  3.4969517e+00  3.5099999e+00  3.4993958e+00  1.3048322e+00  3.5100000e+00  3.4993958e+00 
 3.5200000e+00  3.5200000e+00  3.5069145e+00  3.5199999e+00  3.5093655e+00  1.3085497e+00  3.5200000e+00  3.5093656e+00 
 3.5300000e+00  3.5300000e+00  3.5168773e+00  3.5299999e+00  3.5193353e+00  1.3122672e+00  3.5300000e+00  3.5193353e+00 
 3.5400000e+00  3.5400000e+00  3.5268402e+00  3.5399999e+00  3.5293051e+00  1.3159846e+00  3.5400000e+00  3.5293051e+00 
 3.5500000e+00  3.5500000e+00  3.5368030e+00  3.5499999e+00  3.5392749e+00  1.3197021e+00  3.5500000e+00  3.5392749e+00 
 3.5600000e+00  3.5600000e+00  3.5467658e+00  3.5599999e+00  3.5492447e+00  1.3234196e+00  3.5600000e+00  3.5492447e+00 
 3.5700000e+00  3.5700000e+00  3.5567286e+00  3.5699999e+00  3.5592145e+00  1.3271371e+00  3.5700000e+00  3.5592145e+00 
 3.5800000e+00  3.5800000e+00  3.5666915e+00  3.5799999e+00  3.5691843e+00  1.3308545e+00  3.5800000e+00  3.5691843e+00 
 3.5900000e+00  3.5900000e+00  3.5766543e+00  3.5899999e+00  3.5791541e+00  1.3345720e+00  3.5900000e+00  3.5791541e+00 
 3.6000000e+00  3.6000000e+00  3.5866171e+00  3.5999999e+00  3.5891239e+00  1.3382895e+00  3.6000000e+00  3.5891239e+00 
 3.6100000e+00  3.6100000e+00  3.5965799e+00  3.6099999e+00  3.5990936e+00  1.3420069e+00  3.6100000e+00  3.5990937e+00 
 3.6200000e+00  3.6200000e+00  3.6065428e+00  3.6199999e+00  3.6090634e+00  1.3457244e+00  3.6200000e+00  3.6090634e+00 
 3.6300000e+00  3.6300000e+00  3.6165056e+00  3.6299999e+00  3.6190332e+00  1.3494419e+00  3.6300000e+00  3.6190332e+00 
